matchup,game,competitor,run_id,preset,repetition,seat,points,pudding,outcome,opponents
1,26,random/repetition_1,random,random,1,3,24,1,loss,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
1,27,random/repetition_1,random,random,1,0,32,0,loss,variable_2_4/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_1
1,27,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,45,5,win,random/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_1
1,27,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,44,1,loss,random/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,27,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,3,36,4,loss,random/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
1,28,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,0,34,3,loss,variable_2_4/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_1
1,28,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,29,5,loss,fixed_4p/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_1
1,28,random/repetition_1,random,random,1,2,18,0,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,28,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,3,46,2,win,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,29,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,40,3,win,variable_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
1,29,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,34,1,loss,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
1,29,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,29,0,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,29,random/repetition_1,random,random,1,3,27,4,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
1,30,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,40,5,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,30,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,42,3,win,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,30,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,42,0,loss,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
1,30,random/repetition_1,random,random,1,3,21,1,loss,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
1,31,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,43,3,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,31,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,40,2,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,31,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,44,1,win,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
1,31,random/repetition_1,random,random,1,3,33,4,loss,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
1,32,random/repetition_1,random,random,1,0,20,1,loss,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
