matchup,game,competitor,run_id,preset,repetition,seat,points,pudding,outcome,opponents
31,3008,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,53,3,win,variable_2_4/repetition_1|fixed_3p/repetition_3
31,3008,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,46,2,loss,variable_encoder_2_4/repetition_1|fixed_3p/repetition_3
31,3008,fixed_3p/repetition_3,e83fafd2d1f248479c486b5280206247,fixed_3p,3,2,46,3,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
31,3009,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,32,3,loss,variable_2_4/repetition_1|fixed_3p/repetition_3
31,3009,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,33,1,loss,variable_encoder_2_4/repetition_1|fixed_3p/repetition_3
31,3009,fixed_3p/repetition_3,e83fafd2d1f248479c486b5280206247,fixed_3p,3,2,37,4,win,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
31,3010,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,47,2,loss,variable_2_4/repetition_1|fixed_3p/repetition_3
31,3010,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,48,4,win,variable_encoder_2_4/repetition_1|fixed_3p/repetition_3
31,3010,fixed_3p/repetition_3,e83fafd2d1f248479c486b5280206247,fixed_3p,3,2,40,3,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
31,3011,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,58,2,win,fixed_3p/repetition_3|variable_encoder_2_4/repetition_1
31,3011,fixed_3p/repetition_3,e83fafd2d1f248479c486b5280206247,fixed_3p,3,1,50,2,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
31,3011,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,2,54,2,loss,variable_2_4/repetition_1|fixed_3p/repetition_3
31,3012,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,41,3,loss,variable_2_4/repetition_1|fixed_3p/repetition_3
31,3012,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,42,0,win,variable_encoder_2_4/repetition_1|fixed_3p/repetition_3
31,3012,fixed_3p/repetition_3,e83fafd2d1f248479c486b5280206247,fixed_3p,3,2,33,6,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
